GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
servidor-notificaciones,com.empresa.notificaciones.security,JwtUtil,31,44,1,1,9,14,2,5,1,5
servidor-notificaciones,com.empresa.notificaciones.security,JwtAuthFilter,45,70,2,4,12,19,3,4,1,3
servidor-notificaciones,com.empresa.notificaciones.service,NotificacionService,199,154,9,3,36,31,12,7,6,7
servidor-notificaciones,com.empresa.notificaciones.service,EmailService,188,4,8,0,32,1,11,1,7,1
servidor-notificaciones,com.empresa.notificaciones.controller,NotificacionController,40,52,0,0,7,11,3,3,3,3
servidor-notificaciones,com.empresa.notificaciones.controller,ApiDocsController,0,10,0,0,0,4,0,2,0,2
servidor-notificaciones,com.empresa.notificaciones.controller,HealthController,0,15,0,0,0,3,0,2,0,2
servidor-notificaciones,com.empresa.notificaciones,NotificacionesApplication,5,3,0,0,2,1,1,1,1,1
servidor-notificaciones,com.empresa.notificaciones.dto,EstadisticasDto,0,59,0,0,0,25,0,17,0,17
servidor-notificaciones,com.empresa.notificaciones.dto,PaginatedResponse,18,38,0,0,7,17,1,11,1,11
servidor-notificaciones,com.empresa.notificaciones.dto,EventoEmpleadoDesvinculadoRequest,31,0,0,0,13,0,9,0,9,0
servidor-notificaciones,com.empresa.notificaciones.dto,NotificacionDTO,2,96,2,2,0,32,2,16,0,16
servidor-notificaciones,com.empresa.notificaciones.dto,EventoEmpleadoCreadoRequest,0,24,0,0,0,10,0,7,0,7
servidor-notificaciones,com.empresa.notificaciones.dto,ApiResponse,77,104,0,0,27,38,5,16,5,16
servidor-notificaciones,com.empresa.notificaciones.repository,NotificacionSpecification,141,0,20,0,22,0,13,0,3,0
servidor-notificaciones,com.empresa.notificaciones.model,Notificacion.EstadoNotificacion,0,21,0,0,0,2,0,1,0,1
servidor-notificaciones,com.empresa.notificaciones.model,Notificacion.TipoNotificacion,0,27,0,0,0,2,0,1,0,1
servidor-notificaciones,com.empresa.notificaciones.model,Notificacion,34,55,2,0,12,24,3,15,2,15
servidor-notificaciones,com.empresa.notificaciones.config,AppConfig,0,15,0,0,0,4,0,2,0,2
servidor-notificaciones,com.empresa.notificaciones.config,OpenApiConfig,0,50,0,0,0,17,0,2,0,2
servidor-notificaciones,com.empresa.notificaciones.config,RabbitMQConfig,80,0,0,0,16,0,14,0,14,0
servidor-notificaciones,com.empresa.notificaciones.config,SecurityConfig,0,152,0,0,0,26,0,10,0,10
servidor-notificaciones,com.empresa.notificaciones.exception,GlobalExceptionHandler,62,7,0,0,10,2,4,2,4,2
servidor-notificaciones,com.empresa.notificaciones.messaging,NotificacionEventConsumer,196,98,2,0,45,25,4,4,3,4
